# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
01 0 01;Flensburg, Stadt;66793;19820;330;19490;7486;5516;0;3246;507;1201;113;316;352;102;115;30;55;30;0;16;12;128;69;38;31;48;51;28
01 0 02;Kiel, Landeshauptstadt;176936;62414;898;61516;21356;17032;0;13146;1918;3698;363;786;1312;365;200;120;175;53;0;42;31;312;160;123;58;108;109;49
01 0 03;Lübeck, Hansestadt;164951;54750;870;53880;21763;16040;0;8453;1466;2961;330;562;670;310;181;90;117;69;0;37;26;295;185;87;48;54;98;38
01 0 04;Neumünster, Stadt;61258;17010;332;16678;7354;5040;0;1726;338;956;100;240;200;144;74;36;128;23;0;14;15;100;71;37;7;25;39;11
01 0 51;Dithmarschen;107791;37076;802;36274;20040;8669;0;2433;544;2400;209;376;445;184;119;41;61;43;0;21;23;266;137;62;35;42;96;28
01 0 53;Herzogtum Lauenburg;143823;54727;967;53760;25588;13336;0;6850;867;3617;395;632;635;470;170;73;110;81;0;41;36;353;202;59;43;51;111;40
01 0 54;Nordfriesland;129007;45441;709;44732;23358;10753;0;4506;552;2763;163;528;584;328;156;65;102;56;0;27;25;372;110;73;57;40;84;30
01 0 55;Ostholstein;162055;57791;1012;56779;28725;14990;0;5705;654;3638;268;604;637;269;110;66;171;72;0;26;43;332;153;87;65;34;94;36
01 0 56;Pinneberg;225624;85670;1517;84153;38283;20779;0;12433;1246;5939;398;930;1504;397;257;118;296;99;0;63;69;492;288;135;74;187;119;47
01 0 57;Plön;102961;40744;629;40115;18673;10323;0;5488;629;2326;195;502;789;261;120;51;95;40;0;27;30;232;102;70;31;40;64;27
01 0 58;Rendsburg-Eckernförde;213766;82807;1635;81172;39734;20250;0;10328;1212;4751;317;962;1249;307;280;106;235;82;0;54;73;580;235;106;61;76;130;44
01 0 59;Schleswig-Flensburg;153316;54955;988;53967;28362;13113;0;5385;746;2987;259;687;754;177;218;87;124;58;0;32;40;441;137;112;71;46;91;40
01 0 60;Segeberg;198646;76052;1554;74498;36596;17219;0;9277;1381;5273;365;849;1288;377;243;101;205;86;0;50;43;475;201;106;66;75;175;47
