# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 7. Europäischen Parlament aus der Bundesrepublik Deutschland (7. Juni 2009)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;CSU;CSU;DIE LINKE;DIE LINKE;FDP;FDP;REP;REP;Die Tierschutzpartei;Die Tierschutzpartei;FAMILIE;FAMILIE;ödp;ödp;DIE FRAUEN;DIE FRAUEN;Volksabstimmung;Volksabstimmung;PBC;PBC;CM;CM;AUFBRUCH;AUFBRUCH;DKP;DKP;BP;BP;PSG;PSG;BüSo;BüSo;50Plus;50Plus;AUF;AUF;DVU;DVU;DIE GRAUEN;DIE GRAUEN;DIE VIOLETTEN;DIE VIOLETTEN;EDE;EDE;FBI;FBI;VOLKSENTSCHEIDE;VOLKSENTSCHEIDE;FW FREIE WÄHLER;FW FREIE WÄHLER;Newropeans;Newropeans;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
1001;"Flensburg, Stadt";1;69522;66793;22614;19820;212;330;22402;19490;6985;7486;5915;5516;3818;3246;;;1259;507;2263;1201;84;113;275;316;213;128;30;30;81;115;53;69;60;55;22;30;26;31;35;48;12;;9;28;4;16;67;;26;;76;;47;;42;;16;;18;;34;;81;;10;;476;;94;;271;;;555;
1002;"Kiel, Landeshauptstadt";1;182806;176936;61611;62414;391;898;61220;61516;17040;21356;17740;17032;12103;13146;;;3123;1918;6288;3698;199;363;574;786;327;312;122;120;159;200;71;160;83;175;50;53;52;58;84;108;22;;18;49;19;42;131;;87;;264;;127;;158;;24;;50;;51;;215;;44;;1245;;271;;479;;;1940;
1003;"Lübeck, Hansestadt";1;166078;164951;56287;54750;533;870;55754;53880;16605;21763;15769;16040;9287;8453;;;3059;1466;6646;2961;284;330;493;562;500;295;101;90;157;181;107;185;99;117;46;69;37;48;35;54;37;;16;38;12;37;97;;46;;248;;117;;87;;23;;34;;50;;225;;35;;724;;284;;494;;;1191;
1004;"Neumünster, Stadt";1;60999;61258;24898;17010;732;332;24166;16678;8737;7354;7414;5040;2147;1726;;;1059;338;2912;956;101;100;211;240;284;100;24;36;66;74;51;71;126;128;27;23;19;7;29;25;4;;5;11;9;14;53;;31;;101;;42;;34;;9;;19;;19;;115;;12;;214;;70;;222;;;435;
1051;"Dithmarschen";1;108539;107791;35439;37076;509;802;34930;36274;15580;20040;7809;8669;2878;2433;;;1317;544;5011;2400;144;209;277;376;332;266;34;41;98;119;66;137;39;61;23;43;30;35;25;42;28;;6;28;11;21;61;;40;;96;;86;;51;;9;;27;;27;;177;;22;;247;;106;;273;;;810;
1053;"Herzogtum Lauenburg";1;147503;143823;58624;54727;624;967;58000;53760;21969;25588;13851;13336;7937;6850;;;2315;867;7682;3617;330;395;566;632;611;353;79;73;136;170;108;202;112;110;36;81;43;43;37;51;37;;17;40;14;41;98;;52;;226;;124;;88;;16;;47;;46;;331;;20;;374;;222;;476;;;1311;
1054;"Nordfriesland";1;132140;129007;44661;45441;437;709;44224;44732;19628;23358;10139;10753;5245;4506;;;1318;552;4833;2763;124;163;441;528;436;372;70;65;112;156;91;110;62;102;28;56;42;57;28;40;22;;8;30;13;27;124;;38;;128;;102;;60;;15;;31;;60;;170;;28;;317;;138;;373;;;1094;
1055;"Ostholstein";1;165052;162055;59995;57791;786;1012;59209;56779;23298;28725;14561;14990;6628;5705;;;2166;654;8202;3638;268;268;561;604;513;332;71;66;169;110;101;153;122;171;42;72;42;65;28;34;37;;5;36;15;26;126;;53;;314;;125;;92;;19;;40;;34;;388;;23;;366;;230;;570;;;1130;
1056;"Pinneberg";1;231701;225624;90839;85670;963;1517;89876;84153;33043;38283;22019;20779;12885;12433;;;3409;1246;12262;5939;311;398;772;930;780;492;155;118;167;257;150;288;158;296;53;99;39;74;147;187;49;;14;47;21;63;215;;114;;290;;175;;124;;24;;64;;72;;558;;41;;734;;282;;749;;;2224;
1057;"Plön";1;104494;102961;41306;40744;446;629;40860;40115;15697;18673;10316;10323;5456;5488;;;1450;629;5034;2326;132;195;382;502;409;232;56;51;103;120;61;102;52;95;23;40;28;31;31;40;17;;10;27;5;27;79;;49;;149;;102;;67;;18;;40;;27;;254;;13;;301;;190;;309;;;1214;
1058;"Rendsburg-Eckernförde";1;216462;213766;81638;82807;823;1635;80815;81172;32837;39734;19859;20250;10298;10328;;;2348;1212;9785;4751;263;317;764;962;721;580;96;106;236;280;131;235;126;235;37;82;59;61;56;76;45;;15;44;14;54;200;;78;;252;;139;;160;;18;;62;;65;;380;;33;;688;;273;;777;;;1865;
1059;"Schleswig-Flensburg";1;155935;153316;56833;54955;570;988;56263;53967;24808;28362;12756;13113;6817;5385;;;1809;746;6034;2987;146;259;558;687;519;441;73;87;170;218;118;137;82;124;27;58;41;71;28;46;34;;12;40;14;32;153;;52;;147;;135;;109;;16;;37;;42;;301;;14;;388;;225;;598;;;1174;
1060;"Segeberg";1;204973;198646;74731;76052;728;1554;74003;74498;28885;36596;16564;17219;8872;9277;;;2992;1381;10785;5273;288;365;696;849;842;475;123;101;183;243;137;201;141;205;43;86;52;66;48;75;26;;13;47;14;50;166;;83;;245;;189;;125;;22;;45;;67;;502;;34;;608;;507;;706;;;1989;
1061;"Steinburg";1;105858;105279;37174;37544;454;794;36720;36750;15140;18874;8444;9079;4300;3804;;;1238;649;4661;2115;150;188;326;402;421;238;46;42;109;126;81;120;83;112;24;50;29;33;35;45;13;;10;29;7;23;116;;56;;142;;88;;51;;9;;35;;31;;134;;17;;280;;113;;531;;;821;
1062;"Stormarn";1;181508;175106;75499;69438;665;1121;74834;68317;28116;31195;17214;16846;11097;10368;;;2853;1074;10493;4775;285;298;652;817;586;347;114;110;149;193;128;221;139;164;37;82;38;67;50;70;38;;15;32;7;49;187;;78;;217;;179;;108;;16;;43;;63;;430;;33;;659;;203;;607;;;1609;
901;"Schleswig-Holstein";99;2233570;2187312;822149;796239;8873;14158;813276;782081;308368;367387;200370;198985;109768;103148;;;31715;13783;102891;49400;3109;3961;7548;9193;7494;4963;1194;1136;2095;2562;1454;2391;1484;2150;518;924;577;747;696;941;421;;173;526;179;522;1873;;883;;2895;;1777;;1356;;254;;592;;688;;4261;;379;;7621;;3208;;7435;;;19362;

2000;"Hamburg, Freie und Hansestadt";2;1256701;1227905;436266;428863;3633;7834;432633;421029;128443;154690;109766;106325;88823;103454;;;29181;11872;48225;22991;1527;1589;2905;3237;1493;1534;1054;677;836;1351;720;1217;806;1027;268;255;271;395;521;900;188;;153;260;123;315;763;;355;;1538;;794;;672;;235;;261;;686;;2564;;443;;5097;;1545;;2377;;;8940;
