# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
1001;"Flensburg, Stadt";1;70929;69522;25350;22614;176;212;25174;22402;6446;6985;8161;5915;4380;3818;764;2263;1911;1259;;;103;81;28;84;382;275;181;213;497;476;85;30;69;60;61;53;6;12;10;22;34;26;21;35;8;4;6;9;1583;;11;;13;;113;;301;;;782;
1002;"Kiel, Landeshauptstadt";1;188135;182806;75741;61611;405;391;75336;61220;17477;17040;25918;17740;14305;12103;2651;6288;4863;3123;;;210;215;57;199;1121;574;333;327;1835;1245;210;122;94;83;152;71;20;22;24;50;76;87;87;84;10;19;22;18;4418;;22;;49;;328;;1054;;;1810;
1003;"Lübeck, Hansestadt";1;167198;166078;62933;56287;424;533;62509;55754;17141;16605;21356;15769;9556;9287;1953;6646;3747;3059;;;551;225;66;284;735;493;345;500;1264;724;164;101;67;99;124;107;19;37;29;46;65;46;39;35;11;12;18;16;4334;;18;;48;;359;;500;;;1663;
1004;"Neumünster, Stadt";1;60970;60999;27659;24898;409;732;27250;24166;8948;8737;9680;7414;2432;2147;829;2912;1278;1059;;;120;115;31;101;388;211;338;284;483;214;35;24;72;126;77;51;6;4;34;27;32;31;16;29;7;9;6;5;1960;;9;;14;;341;;114;;;666;
1051;"Dithmarschen";1;107804;108539;42819;35439;469;509;42350;34930;17958;15580;12381;7809;3432;2878;1734;5011;1775;1317;;;292;177;46;144;574;277;403;332;571;247;84;34;33;39;97;66;15;28;17;23;41;40;22;25;6;11;10;6;2325;;25;;22;;263;;224;;;886;
1053;"Herzogtum Lauenburg";1;150105;147503;69625;58624;588;624;69037;58000;23887;21969;21663;13851;8232;7937;2747;7682;2996;2315;;;328;331;87;330;932;566;605;611;951;374;160;79;80;112;122;108;27;37;21;36;75;52;29;37;10;14;14;17;5182;;19;;21;;520;;329;;;1542;
1054;"Nordfriesland";1;130887;132140;53913;44661;419;437;53494;44224;21081;19628;16215;10139;5968;5245;2044;4833;2036;1318;;;241;170;38;124;702;441;455;436;760;317;104;70;61;62;105;91;25;22;21;28;60;38;22;28;9;13;15;8;3038;;18;;25;;226;;225;;;1213;
1055;"Ostholstein";1;165120;165052;70141;59995;618;786;69523;59209;25452;23298;22636;14561;6949;6628;2815;8202;2407;2166;;;422;388;64;268;854;561;589;513;752;366;117;71;87;122;146;101;34;37;40;42;63;53;23;28;7;15;11;5;5439;;21;;18;;321;;256;;;1784;
1056;"Pinneberg";1;236519;231701;108214;90839;784;963;107430;89876;36411;33043;34766;22019;13327;12885;4288;12262;4795;3409;;;466;558;107;311;1257;772;710;780;1554;734;237;155;164;158;203;150;46;49;63;53;101;114;97;147;11;21;23;14;7628;;31;;29;;590;;526;;;2242;
