# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
01 0 01; Flensburg, Stadt;65416;26113;531;25582;11068;10720;1689;0;426;585;169;153;43;88;71;0;92;64;62;28;2;0;26;5;96;13;182
01 0 02; Kiel, Landeshauptstadt;179712;63185;520;62665;23961;25577;6541;0;1813;2343;433;301;119;183;159;0;126;89;184;57;12;0;43;13;279;41;391
01 0 03; Lübeck, Hansestadt;165984;53132;421;52711;20113;23906;3843;0;1169;1523;416;257;130;172;100;0;126;113;245;51;7;0;58;8;180;18;276
01 0 04; Neumünster, Stadt;62337;19022;196;18826;7803;8717;812;0;304;519;138;63;20;51;33;0;76;12;59;29;6;0;29;6;39;3;107
01 0 51; Dithmarschen;106648;40339;476;39863;13490;22320;1405;0;358;1087;206;130;50;129;63;0;43;43;105;24;11;0;47;10;108;13;221
01 0 53; Herzogtum Lauenburg;136408;56058;536;55522;19026;28548;3226;0;782;1847;539;240;61;218;79;0;71;48;262;61;23;0;39;13;108;12;319
01 0 54; Nordfriesland;125480;44362;263;44099;14512;24429;2211;0;459;1265;143;156;49;96;53;0;82;48;145;27;14;0;31;3;116;13;247
01 0 55; Ostholstein;157365;61444;644;60800;21527;32392;2657;0;527;1709;372;246;62;202;79;0;146;74;188;47;10;0;71;16;120;17;338
01 0 56; Pinneberg;219139;90957;877;90080;31390;44650;6195;0;1276;3243;595;490;91;315;130;0;325;121;260;62;31;0;110;23;214;28;531
01 0 57; Plön;99492;43204;471;42733;15225;21586;2592;0;591;1268;299;189;68;145;52;0;75;45;106;29;15;0;52;6;123;10;257
01 0 58; Rendsburg-Eckernförde;207603;81776;778;80998;27472;42623;4617;0;997;2651;435;343;95;254;117;0;155;117;245;70;13;0;77;11;220;23;463
01 0 59; Schleswig-Flensburg;148973;59382;496;58886;20550;31775;2785;0;571;1405;290;213;74;158;89;0;109;108;108;42;12;0;51;5;158;13;370
01 0 60; Segeberg;189266;73390;596;72794;23991;38357;4297;0;942;2660;449;317;99;294;97;0;131;85;234;68;15;0;92;10;190;27;439
